"stock_symbol","stock_market_cap_final","stock_market"
"TDOC","$1850M","NYSE"
"ELGX","$385M","NASDAQ"
"SRRA","$59.59M","NASDAQ"
"GWPH","$2480M","NASDAQ"
"FCSC","$45.41M","NASDAQ"
"XENT","$749.53M","NASDAQ"
"EXEL","$5630M","NASDAQ"
"OHRP","$33.73M","NASDAQ"
"KURA","$170.17M","NASDAQ"
"PRTK","$618.42M","NASDAQ"
"KTWO","$967.38M","NASDAQ"
"HLF","$6700M","NYSE"
"PMD","$118.92M","NASDAQ"
"NSTG","$379.12M","NASDAQ"
"ANGO","$587.52M","NASDAQ"
"LAKE","$92.98M","NASDAQ"
"AMED","$2120M","NASDAQ"
"BYSI","$835.65M","NASDAQ"
"CYAD","$445M","NASDAQ"
"PDCO","$4550M","NASDAQ"
"ARAY","$361.05M","NASDAQ"
"ATHX","$158.07M","NASDAQ"
"INCR","$3230M","NASDAQ"
"NBRV","$250.34M","NASDAQ"
"DPLO","$1210M","NYSE"
"HZNP","$1670M","NASDAQ"
"ADHD","$30.87M","NASDAQ"
"PRPH","$32.94M","NASDAQ"
"JNP","$55.3M","NASDAQ"
"ZYME","$240.93M","NYSE"
"NRCIA","$672.9M","NASDAQ"
"EVHC","$6890M","NYSE"
"SBBP","$146.64M","NASDAQ"
"FONR","$176.92M","NASDAQ"
"MMSI","$1760M","NASDAQ"
"EDAP","$105.14M","NASDAQ"
"VYGR","$263.7M","NASDAQ"
"ARWR","$118.89M","NASDAQ"
"SEM","$1880M","NYSE"
"HALO","$1900M","NASDAQ"
"MSA","$3160M","NYSE"
"NVAX","$310.88M","NASDAQ"
"ONCE","$1820M","NASDAQ"
"ALDX","$65.07M","NASDAQ"
"ETRM","$33.43M","NASDAQ"
"GLYC","$396.21M","NASDAQ"
"MESO","$654.76M","NASDAQ"
"EDIT","$673.15M","NASDAQ"
"CARA","$556.53M","NASDAQ"
"AMRI","$929.63M","NASDAQ"
"ANAB","$480.79M","NASDAQ"
"KERX","$631.28M","NASDAQ"
"KDMN","$142.06M","NYSE"
"GLMD","$84.21M","NASDAQ"
"RTRX","$690.93M","NASDAQ"
"IDRA","$237.15M","NASDAQ"
"ONVO","$272.97M","NASDAQ"
"AET","$49950M","NYSE"
"ARLZ","$79.48M","NASDAQ"
"VCEL","$83.56M","NASDAQ"
"FGEN","$2080M","NASDAQ"
"AZN","$87460M","NYSE"
"FMS","$30330M","NYSE"
"BCLI","$82.81M","NASDAQ"
"INCY","$24170M","NASDAQ"
"PDLI","$367.04M","NASDAQ"
"CMRX","$234.19M","NASDAQ"
"ZTS","$30700M","NYSE"
"LXRX","$1770M","NASDAQ"
"AGIO","$2500M","NASDAQ"
"CHRS","$761.63M","NASDAQ"
"PIRS","$184.33M","NASDAQ"
"AGLE","$47.08M","NASDAQ"
"SPNE","$116.58M","NASDAQ"
"ATRI","$1040M","NASDAQ"
"MYGN","$1630M","NASDAQ"
"BCRX","$446.33M","NASDAQ"
"STE","$6960M","NYSE"
"CCXI","$351.67M","NASDAQ"
"NTLA","$443.51M","NASDAQ"
"PRXL","$4240M","NASDAQ"
"SPPI","$522.68M","NASDAQ"
"INNL","$888.93M","NASDAQ"
"INFI","$85.75M","NASDAQ"
"MBOT","$54.29M","NASDAQ"
"CRIS","$254.48M","NASDAQ"
