RETAILER_CODE,RETAILER_YEAR,RETAILER_MONTH,RETAILER_SALES
1391,2012,8,138651.92
1391,2012,9,165862.59
1391,2012,10,312411.93
1391,2012,11,150437.12
1391,2012,12,162895.1
1391,2013,1,30825.35
1391,2013,2,202017.88
1391,2013,3,243218.87
1391,2013,4,53554.62
1391,2013,5,90677.5
1391,2013,6,187416.08
1391,2013,7,426555.88
1392,2011,6,16691.22
1392,2012,7,83939.46
1393,2012,6,429998.36
1393,2012,7,608466.22
1393,2012,8,438208.29
1393,2012,9,387877.24
1393,2012,10,121288.55
1393,2012,11,142584.35
1393,2012,12,67619
1393,2013,1,121117.75
1393,2013,2,699142.82
1393,2013,3,116090.75
1393,2013,4,85211
1393,2013,5,464289.44
1393,2013,6,257957.55
1393,2013,7,161050.75
1394,2010,1,456108.38
1394,2010,2,110162.97
1394,2010,3,195108.26
1394,2010,4,86810.72
1394,2010,5,164348.39
1394,2010,6,233419.51
1394,2010,7,145902.23
1394,2010,8,180145.77
1394,2010,9,123921.97
1394,2010,10,93779.95
1394,2010,11,271468.16
1394,2010,12,202407.13
1394,2011,1,352111.1
1394,2011,2,208783.31
1394,2011,3,289002.27
1394,2011,4,171212.88
1394,2011,5,106490.03
1394,2011,6,148644.71
1394,2011,7,163806.61
1394,2011,8,170543.52
1394,2011,9,235713.09
1394,2011,10,80108.16
1394,2011,11,77200.15
1394,2011,12,123121.28
1394,2012,1,39632
1394,2012,2,145614.76
1394,2012,3,226127.26
1394,2012,4,354271.2
1394,2012,5,143747.41
1394,2012,6,169070.71
1394,2012,7,51238
1394,2012,8,103429.58
1394,2012,9,310108.93
1394,2012,10,295012.73
1394,2012,11,90581.32
1394,2012,12,304176.91
1394,2013,1,111625.4
1394,2013,2,249784.76
1394,2013,3,277355.87
1394,2013,4,105419.2
1394,2013,5,121084.7
1394,2013,6,331484.43
1394,2013,7,318843.32
1395,2010,1,252951.05
1395,2010,2,228290
1395,2010,3,240272.29
1395,2010,4,341039.17
1395,2010,5,299844.5
1395,2010,6,269189.88
1395,2010,7,241217.39
1395,2010,8,280256.47
1395,2010,9,262696.46
1395,2010,10,175168.74
1395,2010,11,182237.16
1395,2010,12,225962.74
1395,2011,1,250804.26
1395,2011,2,240874.2
1395,2011,3,356467.16
1395,2011,4,283832.89
1395,2011,5,179072.7
1395,2011,6,343464.73
1395,2011,7,176042.18
1395,2011,8,294564.76
1395,2011,9,406832.94
1395,2011,10,145490.43
1395,2011,11,168599.4
1395,2011,12,184420.14
1395,2012,1,137650.19
1395,2012,2,271385.57
1395,2012,3,301010.8
1395,2012,4,486548.57
1395,2012,5,183647.96
1395,2012,6,503365.91
1395,2012,7,242138.44
1395,2012,8,196088.7
1395,2012,9,644204.23
1395,2012,10,287378.49
1395,2012,11,254708.01
1395,2012,12,200659.6
1395,2013,1,223720.9
1395,2013,2,292215.11
1395,2013,3,423023.58
1395,2013,4,263474.55
1395,2013,5,245060.4
1395,2013,6,445055.88
1395,2013,7,474178.65
1396,2011,11,287569.72
1396,2011,12,404028
1396,2012,1,332604.5
1396,2012,2,471160.9
1396,2012,3,160609.68
1396,2012,4,185078.32
1396,2012,5,362144.62
1396,2012,6,368092.54
1396,2012,7,338915.58
1396,2012,8,337780.37
1396,2012,9,118754.78
1396,2012,10,113904.98
1396,2012,11,453599.87
1396,2012,12,372500.84
1396,2013,1,772626.71
1396,2013,2,307639.96
1396,2013,3,208185.46
1396,2013,4,190764.3
1396,2013,5,489696.14
1396,2013,6,234716.52
1396,2013,7,273787.54
1397,2010,1,132258.89
1397,2010,2,105516.44
1397,2010,3,211263.04
1397,2010,4,208917.3
1397,2010,5,126962.45
1397,2010,6,159039.23
1397,2010,7,132116.33
1397,2010,8,133978
1397,2010,9,205262.38
1397,2010,10,108900.26
1397,2010,11,174518.03
